Nombre,Medio,Twitter,Comentario,
Red,TV,@LaRedTV,,
Chv,TV,@chilevision,,
Telecanal,TV,@Telecanal,,
Canal 13,TV,@canal13,,
T13,TV,@T13,equipo de prensa Canal 13,
TVN,TV,@TVN,,
24 Horas,TV,@24HorasTVN,equipo prensa TVN,
Mega,TV,@Mega,,
Meganoticias,TV,@meganoticiascl,equipo prensa Mega,
BiobioChile,Radio,@biobio,,
Cooperativa,Radio,@Cooperativa,, 
Radio ADN,Radio,@adnradiochile,,
CNN Chile,TV,@CNNChile,,
Emol,Diario Online,@Emol,,
TheClinic,Diario Online,@thecliniccl,,
el mostrador,Diario,@elmostrador,,
Tele13Radio,Radio,@Tele13_Radio,,
CHV Noticias,TV,@CHVNoticias,,
CIPER Chile,Diario - Online,@ciper,,
La Nación Chile,Diario,@nacioncl,,
El Dínamo,Diario - Online,@el_dinamo,,
Las Últimas Noticias,Diario,@lun,,
El Ciudadano,Diario - Online,@El_Ciudadano,,
El Desconcierto,Diario - Online,@eldesconcierto,,
Diario-Radio Uchile,Radio - Online,@uchileradio,,
laSegunda,Diario,@La_Segunda,,
La Hora,Diario,@DiarioLaHora,,
Publimetro,Diario,@PublimetroChile,,
El Mercurio,Diario,@ElMercurio_cl,,