Nombres del Político,Cargo,Partido Politico,Acronimo,Twitter
Gonzalo Blumel Mac Iver,Ministro,Evolución Política,EVOPOLI,@gblumel
Teodoro Ribera Neumann,Ministro,Partido Renovación Nacional,RN,@TeodoroRiberaN
Alberto Espina Otero,Ministro,Partido Renovación Nacional,RN,@albertoespina
Ignacio Briones Roja,Ministro,Evolución Política,EVOPOLI,@ignatiuswilde
Felipe Wards Edwards,Ministro,Union Democrata independiente,UDI,@FelipeWard
Karla Rubilar Barahona,Ministro,Independiente,,@KarlaEnAccion
Lucas Palacios Covarrubias,Ministro,Union Democrata independiente,UDI,@LucasPalaciosC
Sebastián Sichel Ramírez,Ministro,Independiente,,@sebastiansichel
Marcela Cubillos Sigall,Ministro,Union Democrata independiente,UDI,@mcubillossigall
Hernán Larraín Fernández,Ministro,Union Democrata independiente,UDI,@HernanLarrainF
María José Zaldívar Larraín,Ministro,Independiente,,@mjose_zaldivar
Alfredo Moreno Charme,Ministro,Independiente,,@amorenocharme
Jaime Mañalich Muxi,Ministro,Independiente,,@jmanalich
Cristián Monckeberg Bruner,Ministro,Partido Renovación Nacional,RN,@cmonckeberg
Antonio Walker Prieto,Ministro,Independiente,,@antoniowalkerp
Baldo Prokurica Prokurica ,Ministro,Partido Renovación Nacional,RN,@bprokurica
Gloria Hutt Hesse,Ministro,Evolución Política,EVOPOLI,@GloriaHutt
Julio Isamit Díaz,Ministro,Union Democrata independiente,UDI,@jisamit
Juan Carlos Jober Eluchans,Ministro,Independiente,,@JCJobet
Carolina Schmidt Zaldívar,Ministro,Independiente,,@CarolaSchmidtZ
Cecilia Pérez Jara,Ministro,Revolución Democrática,RD,@ceciperez1
Isabel Plá Jarufe,Ministro,Union Democrata independiente,UDI,@isabelpla
Consuelo Valdés Chadwick,Ministro,Independiente,,@Consuelovaldesc
Andrés Couve Correa,Ministro,Independiente,,@acouvecorrea
Andrés Allamand Zavala,Senador,Partido Renovación Nacional,RN,@allamand
Isabel Allende Bussi,Senador,Partido Socialista ,PS,@iallendebussi
Carmen Gloria Aravena Acuña,Senador,Independiente,,@SenCarmenGloria
Pedro Araya Guerrero,Senador,Independiente,,@ArayaPedro
Carlos Bianchi Chelech,Senador,Independiente,,
Juan Castro Prieto,Senador,Partido Renovación Nacional,RN,@SenadorCastro
Francisco Chahuán Chahuán ,Senador,Partido Renovación Nacional,RN,@chahuan
Juan Antonio Coloma Correa,Senador,Union Democrata independiente,UDI,@jacoloma
Alfonso De Urresti Longton,Senador,Partido Socialista ,PS,
José Miguel Durana Semir,Senador,Union Democrata independiente,UDI,
Luz Eliana Ebensperger Orrego,Senador,Union Democrata independiente,UDI,
Alvaro Elizalde Soto,Senador,Partido Socialista ,PS,@alvaroelizalde
Rodrigo Galilea Vial,Senador,Partido Renovación Nacional,RN,@galilea_rodrigo
Alejandro García Huidobro Sanfuentes,Senador,Union Democrata independiente,UDI,
José García Ruminot,Senador,Partido Renovación Nacional,RN,@jgarciaruminot
Guido Girardi Lavín,Senador,Partido por la democracia,PPD,@guidogirardi
Carolina Goic Boroevic,Senador, Demócrata Cristiano,DC,@carolinagoic
Alejandro Guiller Álvarez,Senador,Independiente,,@guillier
Felipe Harbeo Bascuñán,Senador,Partido por la democracia,PPD,
Francisco Huenchumilla Jaramillo,Senador, Demócrata Cristiano,DC,@fhuenchumilla
José Miguel Insulza Salinas,Senador,Partido Socialista ,PS,@Insulza
Felipe Kast Sommerhoff,Senador,Evolución Política,EVOPOLI,@felipekast
Ricardo Lagos Weber,Senador,Partido por la democracia,PPD,@lagosweber
Juan Ignacio Latorre Riveros,Senador,Revolución Democrática,RD,
Juan Pablo Letelier Morel,Senador,Partido Socialista ,PS,@jplchile
Carlos Montes Cisternas,Senador,Partido Socialista ,PS,
Iván Moreira Barros,Senador,Union Democrata independiente,UDI,@ivanmoreirab
Adrian Muñoz D'Albora,Senador,Partido por la democracia,PPD,
Alejandro Navarro Brain,Senador,Partido progresista de Chile,PRO,@senadornavarro
Ximena Órdenes Neira,Senador,Independiente,,@senadoradeaysen
Manuel José Ossandon Irarrázabal,Senador,Partido Renovación Nacional,RN,@mjossandon
Victor Pérez Varela,Senador,Union Democrata independiente,UDI,@senadorVPV
Jorge Pizarro Soto,Senador, Demócrata Cristiano,DC,@pizarrosenador
Rafael Prohens Espinosa,Senador,Partido Renovación Nacional,RN,@RafaelProhensE
Yasna Provoste Campillay,Senador, Demócrata Cristiano,DC,@ProvosteYasna
Kenneth Pugh Olavarría,Senador,Independiente,,@PughSenador
Jaime Quintana Leal,Senador,Partido por la democracia,PPD,@senadorquintana
Rabindranath Quinteros Laras,Senador,Partido Socialista ,PS,
Ximena Rincón Gonzáles,Senador, Demócrata Cristiano,DC,@ximerincon
David Sandoval Plaza,Senador,Union Democrata independiente,UDI,@sandovalplaza
Jorge Soria Quiroga,Senador,Partido por la democracia,PPD,@jorgesoria2010
Jacqueline Van Rysselberghe Herrera,Senador,Union Democrata independiente,UDI,@jvanbiobio
Ena Von Baer Jhan,Senador,Union Democrata independiente,UDI,@enavonbaer
Florcita Alarcón,Diputado,Partido Humanista,PH,
Jorge Alessandri,Diputado,Union Democrata independiente,UDI,@jalessandri
René Alinco,Diputado,Independiente,,@alinco_rene
Sebastián Álvarez,Diputado,Evolución Política,EVOPOLI,
Jenny Álvarez,Diputado,Partido Socialista ,PS,@jennyalvarezv
Pedro Pablo Alvarez-Salamanca,Diputado,Union Democrata independiente,UDI,
Sandra Amar,Diputado,Union Democrata independiente,UDI,@SandraAmarM
Gabrel Ascencio,Diputado, Demócrata Cristiano,DC,
Pepe Auth,Diputado,Independiente,,@pepe_auth
Nino Baltolu,Diputado,Union Democrata independiente,UDI,@NinoBaltolu
Boris Barrera,Diputado,Partido comunista,PC,@boris_barrera
Ramón Barros,Diputado,Union Democrata independiente,UDI,@memobarros
Jaime Bellolio,Diputado,Union Democrata independiente,UDI, @jbellolio
Bernardo Berger,Diputado,Partido Renovación Nacional,RN,@DiputadoBerger
Alejandro Bernales,Diputado,Partido Liberal de Chile,,@abernales
Karim Bianchi,Diputado,Independiente,,@KarimBianchi
Sergio Bobadilla,Diputado,Union Democrata independiente,UDI,@DipBobadilla
Gabriel Boric,Diputado,Independiente,,@gabrielboric
Jorge Brito,Diputado,Revolución Democrática,RD,@jorbritoh
Miguel Ángel Calisto,Diputado, Demócrata Cristiano,DC,@MiguelCalisto
Karol Cariola,Diputado,Partido comunista,PC,@KarolCariola
Álvaro Carter,Diputado,Union Democrata independiente,UDI,@Alvaro_CarterF
Loreto Carvajal,Diputado,Partido por la democracia,PPD,@loretodiputada
Natalia Castillo ,Diputado,Revolución Democrática,RD,@ncastilo
José Miguel Castro,Diputado,Partido Renovación Nacional,RN,@dip_jmcastro
Juan Luis Castro,Diputado,Partido Socialista ,PS,
Ricardo Celis,Diputado,Partido por la democracia,PPD,@ricardocelis
Andrés Celis,Diputado,Partido Renovación Nacional,RN,@ANDRESCELISM
Daniella Cicardini,Diputado,Partido Socialista ,PS,@Dani_Cicardini
Sofía Cid,Diputado,Partido Renovación Nacional,RN,@DiputadaCidV
Juan Antonio Coloma Correa,Diputado,Union Democrata independiente,UDI,@ColomaMaule
Miguel Crispi,Diputado,Revolución Democrática,RD,@MiguelCrispiS
Luciano Cruz-Coke,Diputado,Evolución Política,EVOPOLI,@lcruzcoke
Catalina Del Real,Diputado,Partido Renovación Nacional,RN,
Mario Desbordes,Diputado,Partido Renovación Nacional,RN,@desbordes
Marcelo Díaz,Diputado,Partido Socialista ,PS,@marcelodiazd
Jorge Durán,Diputado,Partido Renovación Nacional,RN,
Eduardo Durán,Diputado,Partido Renovación Nacional,RN,
Francisco Eguiguren,Diputado,Partido Renovación Nacional,RN,@feguigurenc
Fidel Espinoza,Diputado,Partido Socialista ,PS,@fideldiputado
Maya Fernández,Diputado,Partido Socialista ,PS,@Mayafernandeza
Iván Flores,Diputado, Demócrata Cristiano,DC,@ifloresdiputado
Camila Flores,Diputado,Partido Renovación Nacional,RN,@Cami_FloresO
Juan Fuenzalida,Diputado,Union Democrata independiente,UDI,
Gonzalo Fuenzalida,Diputado,Partido Renovación Nacional,RN,@gonzofuenza
Sergio Gahona,Diputado,Union Democrata independiente,UDI,@sergiogahona
Ramón Galleguillos,Diputado,Partido Renovación Nacional,RN,@ramongallec
René Manuel García,Diputado,Partido Renovación Nacional,RN,@ReneManuelGarc2
Renato Garín,Diputado,Independiente,,@GarinDiputado
Cristina Girardi,Diputado,Partido por la democracia,PPD,@diputadagirardi
Félix González,Diputado,Partido Ecologista Verde,PEV,@FELIX_GonzalezG
Rodrigo González,Diputado,Partido por la democracia,PPD,
Hugo Gutiérrez,Diputado,Partido comunista,PC,@Hugo_Gutierrez_
Javier Hernández,Diputado,Union Democrata independiente,UDI,
Marcela Hernando,Diputado,Partido Radical ,PR,@MArcelaHernando
Carmen Hertz,Diputado,Partido comunista,PC,
Tomás Hirsch,Diputado,Partido Humanista,PH,@tomashirsch
María José Hoffman,Diputado,Union Democrata independiente,UDI,@PepaHoffman
Diego Ibáñez,Diputado,Independiente,,@diego_ibanezc
Marcos Ilabaca,Diputado,Partido Socialista ,PS,@marcos_ilabaca
Giorgio Jackson,Diputado,Revolución Democrática,RD,@GiorgioJackson
Carlos Abel Jarpa,Diputado,Partido Radical ,PR,
Pamela Jiles,Diputado,Partido Humanista,PH,@PamJiles
Tucapel Jiménez,Diputado,Partido por la democracia,PPD,
Harry Jürgensen,Diputado,Partido Renovación Nacional,RN,
Pablo Kast,Diputado,Evolución Política,EVOPOLI,@labkast
Sebastían Keitel,Diputado,Evolución Política,EVOPOLI,@sekeitel
Issa Kort,Diputado,Union Democrata independiente,UDI,@issakortg
Carlos Kuschel,Diputado,Partido Renovación Nacional,RN,@kuscheldiputado
Amaro Labra,Diputado,Partido comunista,PC,@amarolabra
Joaquín Lavín,Diputado,Union Democrata independiente,UDI,@LavinJoaquin
Raúl Leiva,Diputado,Partido Socialista ,PS,@RaulLeiva
Aracely Leuquén,Diputado,Partido Renovación Nacional,RN,@aracelyleuquen
Andrés Longton,Diputado,Partido Renovación Nacional,RN,@andreslongton
Pablo Lorenzini,Diputado, Demócrata Cristiano,DC,@pablolorenzini
Karin Luck,Diputado,Partido Renovación Nacional,RN,@karinluck
Javier Macaya,Diputado,Union Democrata independiente,UDI,@javiermacaya
Carolina Marzán,Diputado,Partido por la democracia,PPD,@carolamarzan
Manuel Matta,Diputado, Demócrata Cristiano,DC,
Patricio Melero,Diputado,Union Democrata independiente,UDI,@patriciomelero
Cosme Mellado,Diputado,Partido Radical ,PR,@cosme_mellado
Miguel Mellado,Diputado,Partido Renovación Nacional,RN,@melladosuazo
Fernando Meza,Diputado,Partido Radical ,PR,
Vlado Mirosevic,Diputado,Partido Liberal de Chile,,@vladomirosevic
Claudio Mix,Diputado,Poder ciudadano,,
Andrés Molina,Diputado,Evolución Política,EVOPOLI,@andresmolinam
Manuel Monsalve,Diputado,Partido Socialista ,PS,@DiputadoMonsalv
Celso Morales,Diputado,Union Democrata independiente,UDI,@Celsomorales
Cristhian Moreira,Diputado,Union Democrata independiente,UDI,@MoreiraDiputado
Jaime Mulet,Diputado,Federación regionalista Verde Social,FREVS,@Muletjaime
Francesca Muñoz,Diputado,Partido Renovación Nacional,RN,@FrancescaD20Dip
Jaime Naranjo,Diputado,Partido Socialista ,PS,@diputadonaranjo
Nicolás Noman,Diputado,Union Democrata independiente,UDI,@nicolasnoman
Iván Norambuena,Diputado,Union Democrata independiente,UDI,
Daniel Núñez,Diputado,Partido comunista,PC,@daniel_nunez_a
Paulina Núñez,Diputado,Partido Renovación Nacional,RN,@paulinanu
Emilia Nuyado,Diputado,Partido Socialista ,PS,@DEmiliaNuyado
Erika Olivera,Diputado,Independiente,,@erikaoliverad
Maite Orsini,Diputado,Revolución Democrática,RD,@MaiteOrsini
José Miguel Ortiz,Diputado, Demócrata Cristiano,DC,@OrtizDiputado
Ximena Ossandón,Diputado,Partido Renovación Nacional,RN,@nonaossandon
Luis Pardo,Diputado,Partido Renovación Nacional,RN,@LuisPardoS
Andrea Parra,Diputado,Partido por la democracia,PPD,@andreaparras
Diego Paulsen,Diputado,Partido Renovación Nacional,RN,@diegopaulsen
José Pérez,Diputado,Partido Radical ,PR,
Leopoldo Pérez,Diputado,Partido Renovación Nacional,RN,@perezlahsen
Joanna Pérez,Diputado, Demócrata Cristiano,DC,@joaperezolea
Catalina Pérez,Diputado,Revolución Democrática,RD,@CatalinaPerezS
Pablo Prieto,Diputado,Independiente,,@pabloprietol
Guillermo Ramírez,Diputado,Union Democrata independiente,UDI,@GmoRamirez
Jorge Rathgeb,Diputado,Partido Renovación Nacional,RN,@JorgeRathgeb
Ronaldo Rentería,Diputado,Union Democrata independiente,UDI,
Hugo Rey,Diputado,Partido Renovación Nacional,RN,@HugoReyM
Luis Rocafull,Diputado,Partido Socialista ,PS,@diputadorocaful
Camila Rojas,Diputado,Independiente,,@Camila_RojasV
Leonidas Romero,Diputado,Partido Renovación Nacional,RN,@leoromerosaez
Patricio Rosas,Diputado,Independiente,,@patriciorosas
Gastón Saavedra,Diputado,Partido Socialista ,PS,@gastonsaavedra
Jorge Sabag,Diputado, Demócrata Cristiano,DC,@jorgesabagv
Marcela Sabat,Diputado,Partido Renovación Nacional,RN,@MarceSabat
René Saffirio,Diputado,Independiente,,@renesaffirio
Raúl Saldivár,Diputado,Partido Socialista ,PS,@raulsaldivarps
Gustavo Sanhueza,Diputado,Union Democrata independiente,UDI,@gustavosanhuez
Juan Santana,Diputado,Partido Socialista ,PS,@Juan_SantanaC
Alejandro Santana,Diputado,Partido Renovación Nacional,RN,@diputadosantana
Marisela Santibáñez,Diputado,Partido comunista,PC,@mariseka
Frank Sauerbaum,Diputado,Partido Renovación Nacional,RN,@frank_sauerbaum
Diego Schalper,Diputado,Partido Renovación Nacional,RN,@Diego_Schalper
Marcelo Schiling,Diputado,Partido Socialista ,PS,@dip_schilling
Alejandra Sepúlveda,Diputado,Federación regionalista Verde Social,FREVS,
Alexis Sepúlveda,Diputado,Partido Radical ,PR,
Gabriel Silber,Diputado, Demócrata Cristiano,DC,@gabrielsilber
Leonardo Soto,Diputado,Partido Renovación Nacional,RN,@LeoSotoChile
Raúl soto,Diputado, Demócrata Cristiano,DC,@Raul_Soto1
Guillermo Teillier,Diputado,Partido comunista,PC,@gteillier
Jaime Tohá,Diputado,Partido Socialista ,PS,@TohaGonzalez
Sebastian Torrealba,Diputado,Partido Renovación Nacional,RN,@storrealbaa
Victor Torres,Diputado, Demócrata Cristiano,DC,@DocVictorTorres
Renzo Trisotti,Diputado,Union Democrata independiente,UDI,@RenzoTrisotti
Virginia Troncoso,Diputado,Union Democrata independiente,UDI,@vtroncosoh
Francisco Undurraga,Diputado,Evolución Política,EVOPOLI,@Panchoundurraga
Ignacio Urrutia,Diputado,Independiente,,@UrrutiaporChile
Osvaldo Urrutia,Diputado,Union Democrata independiente,UDI,@urrutiaosvaldo
Cristóbal Urruticoechea,Diputado,Partido Renovación Nacional,RN,@DipCristobal
Camilla Vallejo,Diputado,Partido comunista,PC,@camila_vallejo
Enrique Van Rysselberghe,Diputado,Union Democrata independiente,UDI,@vanrysselberghe
Esteban Velásquez,Diputado,Federación regionalista Verde Social,FREVS,@CalamaVelasquez
Pedro Velásquez,Diputado,Independiente,,@pvelasquezsegue
Mario Venegas,Diputado, Demócrata Cristiano,DC,@DiputadoVenegas
Daniel Verdessi,Diputado, Demócrata Cristiano,DC,@danielverdessi
Pablo Vidal,Diputado,Revolución Democrática,RD,@pablovidalrojas
Gastón Von Mühlenbrock,Diputado,Union Democrata independiente,UDI,
Matías Walker,Diputado, Demócrata Cristiano,DC,@matiaswalkerp
Gonzalo Winter,Diputado,Independiente,,@gonzalowinter
Gael Yeomans,Diputado,Independiente,,@GaelDiputada